Altium Designer Pick and Place Locations
B:\Applications\hardware\pca10059\trunk\production_files\400250_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       17.09.20
Time:       15:25
Revision:   18117
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R7","4R7","TopLayer","RESC0603X03L_C","28.1140","-0.6000","270","Resistor, ±1%, 0.05W"
"DP","Ø1.0mm,SMD","BottomLayer","TP_SMD_Ø1.0mm","33.4500","0.7500","270","1.0mm circular SMD testpad"
"DN","Ø1.0mm,SMD","BottomLayer","TP_SMD_Ø1.0mm","33.4500","-0.7500","270","1.0mm circular SMD testpad"
"1.01","Ø1.0mm,SMD","BottomLayer","TP_SMD_Ø1.0mm","15.0000","3.0000","180","1.0mm circular SMD testpad"
"0.11","Ø1.0mm,SMD","BottomLayer","TP_SMD_Ø1.0mm","19.5000","3.0000","180","1.0mm circular SMD testpad"
"1.11","Ø1.0mm,SMD","BottomLayer","TP_SMD_Ø1.0mm","15.0000","-3.0000","180","1.0mm circular SMD testpad"
"0.14","Ø1.0mm,SMD","BottomLayer","TP_SMD_Ø1.0mm","18.0000","3.0000","180","1.0mm circular SMD testpad"
"R5","2k2","TopLayer","RESC0603X03L_C","26.6954","1.9981","360","Resistor, ±1%, 0.05W"
"SW2","PTS840 GK SMTR LFS","TopLayer","EVQP7A/J/B/K","7.1882","2.8702","270","Microminiature SMT Switch, Side Actuated"
"SW1","PB SW","TopLayer","C&K_PTS810","10.6172","2.8702","270","Tactile Switch, SPNO, SMD, 260gf, 4.2x3.2x2.5mm"
"U1","nRF52840-QIAA","TopLayer","AQFN50P700X700X85_HS-74N","17.1450","0.0000","180","Multi-protocol Bluetooth Low Energy, IEEE 802.15.4, ANT and 2.4GHz proprietary system-on-chip"
"C16","47nF","TopLayer","CAPC0603X03L_C","19.9390","-4.1148","180","Capacitor, X5R, ±10%"
"R6","390R","TopLayer","RESC0603X03L_C","26.6954","2.8448","360","Resistor, ±1%, 0.05W"
"R4","1k2","TopLayer","RESC0603X03L_C","26.6954","1.1515","360","Resistor, ±1%, 0.05W"
"LD2","LED RGB","TopLayer","LED_RGB_0603","28.1940","4.0640","90","RGB LED 1.60 mm x 0.80 mm SMD"
"0.17","CH","TopLayer","Castellated_Hole_0.9mm","23.4950","7.6830","180","Castellated Hole 0.9mm"
"0.20","CH","TopLayer","Castellated_Hole_0.9mm","20.9550","7.6830","180","Castellated Hole 0.9mm"
"0.15","CH","TopLayer","Castellated_Hole_0.9mm","26.0350","7.6830","180","Castellated Hole 0.9mm"
"0.13","CH","TopLayer","Castellated_Hole_0.9mm","28.5750","7.6830","180","Castellated Hole 0.9mm"
"VBUS1","VBUS","TopLayer","Castellated_Hole_0.9mm","28.5750","-7.6830","0","Castellated Hole 0.9mm"
"VDD OUT","CH","TopLayer","Castellated_Hole_0.9mm","26.0350","-7.6830","0","Castellated Hole 0.9mm"
"GND1","GND","TopLayer","Castellated_Hole_0.9mm","23.4950","-7.6830","0","Castellated Hole 0.9mm"
"0.31","CH","TopLayer","Castellated_Hole_0.9mm","20.9550","-7.6830","0","Castellated Hole 0.9mm"
"0.29","CH","TopLayer","Castellated_Hole_0.9mm","18.4150","-7.6830","0","Castellated Hole 0.9mm"
"0.02","CH","TopLayer","Castellated_Hole_0.9mm","15.8750","-7.6830","0","Castellated Hole 0.9mm"
"1.15","CH","TopLayer","Castellated_Hole_0.9mm","13.3350","-7.6830","0","Castellated Hole 0.9mm"
"1.13","CH","TopLayer","Castellated_Hole_0.9mm","10.7950","-7.6830","0","Castellated Hole 0.9mm"
"1.10","CH","TopLayer","Castellated_Hole_0.9mm","8.2550","-7.6830","0","Castellated Hole 0.9mm"
"1.00","CH","TopLayer","Castellated_Hole_0.9mm","13.3350","7.6830","180","Castellated Hole 0.9mm"
"0.24","CH","TopLayer","Castellated_Hole_0.9mm","15.8750","7.6830","180","Castellated Hole 0.9mm"
"0.22","CH","TopLayer","Castellated_Hole_0.9mm","18.4150","7.6830","180","Castellated Hole 0.9mm"
"0.09","CH","TopLayer","Castellated_Hole_0.9mm","10.7950","7.6830","180","Castellated Hole 0.9mm"
"Fid1","Fiducial mark","TopLayer","Fiducial_Square","36.0000","4.0000","0","Fiducial Mark"
